Serial Number,Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,Clock,Vehicle Year,Model,City,County,Driving Status,Pedestrian Involved,Bicyclist Involved,Other,Number Of Vehicles Involved,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Model_2,Moving_2,Accident Detail Description,Weather Clear,Weather Cloudy,Weather Raining,Weather Snowing,Weather Fog,Weather Other,Weather Wind,Lighting Daylight,Lighting Dark-Dawn,Lighting Dark-Street lights,Lighting Dark-No street lights,Lighting  Dark-Street lights not functioning,Roadway Dry,Roadway Wet,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
43,Cruise LLC,Cruise,10/29/2019,07:52,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,Yes,,,,Prius ,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound in a channelized lane on Beach Street near the intersection with The Embarcadero when it stopped at the traffic light and another vehicle behind the Cruise AV made contact with its rear bumper. There were no injuries reported at the scene by either party and police were not called. The Cruise AV test operators sitting in the driver’s seat and in the backseat later mentioned back pain.",Yes,,,,,,,,,Yes,,,Yes,,37.8002,-122.4091,0,0,1,1,0
44,Cruise LLC,Cruise,11/07/2019,08:35,PM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,unk,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southwest bound on King Street between 2nd and 3rd Streets when the Cruise AV slowed down. Shortly thereafter, another vehicle, changing into the Cruise AV’s lane from the right adjacent lane, made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and a radar mounting bracket. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.77493,-122.41942,-1,0,0,1,0
45,Cruise LLC,Cruise,11/25/2019,07:00,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Ranger,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from eastbound California Street onto southbound Hyde Street when another vehicle made contact with the Cruise AV’s rear bumper, damaging the rear fascia and the rear center radars. There were no injuries reported at the scene by either party and police were not called. Days after the collision, the Cruise AV test operator sitting in the driver's seat reported injuries. [originally filed 12/4/2019, amended 12/16/2019]",Yes,,,,,,,,,Yes,,,Yes,,37.7911281,-122.417515,-1,0,1,1,0
46,Cruise LLC,Cruise,12/08/2019,09:14,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Outback,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a 4-way stop on southbound 30th Avenue at the intersection with California Street when another vehicle made contact with the Cruise AV’s rear bumper, damaging the rear fascia and rear center radar assembly of the Cruise AV. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7835789,-122.490148,-1,0,1,1,0
47,Cruise LLC,Cruise,12/19/2019,10:27,AM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,,Yes,,,Sienna,,"A Cruise autonomous vehicle (“Cruise AV”) operating in autonomous mode, was traveling northbound on Leavenworth Street at the intersection with Post Street when the Cruise AV yielded to a public transit bus changing into the Cruise AV’s lane from the right adjacent lane. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear fascia and the other vehicle’s right front fascia. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7873732,-122.41492,0,0,1,1,1
48,Waymo LLC,Waymo LLC,01/07/2020,10:05,AM,2017,Pacifica,Palo Alto,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Chevrolet,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip lane from westbound Nita Avenue to northbound San Antonio Road in Palo Alto when it was rear-ended. The Waymo AV was yielding to approaching traffic when a commercial box truck made contact with the Waymo AV’s rear bumper at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the commercial box truck left without exchanging information. Waymo contacted the Palo Alto Police Department and a police report was filed. No injuries were reported at the scene.",Yes,,,,,,,Yes,,,,,Yes,,37.418,-122.1274,-1,0,1,1,2
49,Zoox Inc.,Zoox,1/21/2020,11:08,AM,2016,Highlander,San Francisco,San Francisco,Moving,,,Truck,2,,Yes,,,All Weather Architectural Aluminum  Freightliner / Hino Truck,,"A Zoox vehicle traveling in autonomous mode on Broadway St. towards Powell St. encountered a double-parked flatbed truck. The Zoox vehicle began to maneuver around the stationary truck and made slight contact with the left rear of the truck, causing a scrape on the passenger-side door of the Zoox vehicle; there was no damage to the truck. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.8002,-122.4091,0,1,0,0,2
50,Cruise LLC,Cruise,1/29/2020,10:10,AM,2020,Bolt,San Francisco,San Francisco,Moving,,,,2,Yes,,,,Honda,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling northwest bound on Columbus Street approaching the intersection with Jones Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle, changing into the Cruise AV’s lane from the left adjacent lane, made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and shoulder pain.",Yes,,,,,,,Yes,,,,,Yes,,37.8049862,-122.4171187,0,0,1,1,0
51,Cruise LLC,Cruise,1/31/2020,05:47,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,Yes,,,,Ford,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a left turn onto eastbound Duboce Avenue from southbound Castro Street when the Cruise AV yielded to an oncoming car. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and back pain. ",Yes,,,,,,,Yes,,,,,Yes,,37.7693583,-122.4357788,-1,0,1,1,0
52,Cruise LLC,Cruise,02/09/2020,09:16,PM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Lexus,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southeast bound on Sickles Avenue toward the intersection with Mission Street in the left turn lane; when the Cruise AV yielded to another vehicle that encroached into the Cruise AV’s lane from the right adjacent lane. Shortly thereafter, a second vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s rear impact bar and a radar mounting bracket and the other vehicle’s front bumper. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.7087111,-122.4532914,0,0,1,1,0
53,Waymo LLC,Waymo LLC,2/14/2020,05:52,PM,2017,Pacifica,Mountain View,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Honda Odyssey,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode turning right from eastbound Park Drive onto southbound Miramonte Avenue in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 6 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",Yes,,,,,,,,Yes,,,,Yes,,37.3855,-122.088,0,0,1,1,1
54,Zoox Inc.,Zoox,2/26/2020,11:28,AM,2016,Highlander,San Francisco,San Francisco,Moving,,,car,2,,,Yes,,Honda Cr-V Ex,Yes,"A Zoox vehicle was in autonomous mode while making a right lane change on Montgomery St facing north towards Clay St. A car entered traffic from a stop sign intersection on right without stopping and struck the Zoox vehicle's rear passenger side door, causing moderate damage. There were no injuries and police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7946617,-122.402864,0,0,1,1,1
55,Zoox Inc.,Zoox,2/26/2020,08:52,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,bus,2,,Yes,,,,Yes,"A Zoox vehicle was stationary in autonomous mode on Montgomery St facing north towards Broadway St, yielding for an oncoming bus encroaching upon its lane. The bus struck the driver's side mirror, causing it to fold with minor damage. The bus driver did not stop, so no information was exchanged. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.8002,-122.4091,-1,0,1,1,2
56,Waymo LLC,Waymo LLC,03/10/2020,07:57,AM,2017,Pacifica,Mountain View,Santa Clara,Moving,,,,2,,Yes,,,Honda Odyssey,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was in autonomous mode in the slip lane from southbound Whisman Station Drive to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic on Central Expressway when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 4 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported.",Yes,,,,,,,Yes,,,,,Yes,,37.4056,-122.0775,0,0,1,1,1
57,"Pony.ai, Inc.",Pony.ai,5/30/2020,10:19,AM,2019,KONA,Irvine,Orange County,Stopped In Traffic,,,,2,,,Yes,,Ford Mustang,Yes,"The Pony.ai autonomous vehicle (""Pony.ai AV"") stopped at a red light on the corner of Harvard Ave and Barranca Parkway, preparing to make a right turn on red. The Pony.ai AV crept into the intersection before stopping to yield to oncoming traffic. While stopped, the Pony.ai AV was rear-ended by the vehicle behind it (""Vehicle 2""). The contact between the vehicles caused a moderate dent to the back of the Pony.ai AV and minor damage to Vehicle 2. Both drivers pulled over to the side of the roadway and exchanged information. There were no injuries reported and the police were not called. ",Yes,,,,,,,Yes,,,,,Yes,,33.6951,-117.8224,-1,0,1,1,0
58,Cruise LLC,Cruise,06/01/2020,10:36,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Chevrolet Astro,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was coming to a complete stop in response to stopped traffic on southwest bound Mission Street near the intersection with 10th Street when another vehicle approaching from the rear made contact with the Cruise AV’s rear bumper, damaging the rear right fascia light bracket. The driver of the other vehicle left the scene without exchanging information. Both of the Cruise AV test operators mentioned back pain at the scene but police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7373676,-122.4240568,-1,0,1,1,0
59,Waymo LLC,Waymo LLC,6/15/2020,01:20,PM,2017,Pacifica,Palo Alto,Santa Clara,Stopped In Traffic,,,,2,,Yes,,,Dodge Dakota,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on northbound Alma Street at Alma Village Circle in Palo Alto when it was rear-ended. The Waymo AV was stopped in traffic for a red light when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper and hatch, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported.",Yes,,,,,,,Yes,,,,,Yes,,37.418,-122.1274,0,0,1,1,1
60,Zoox Inc,Zoox Inc,7/14/2020,01:50,PM,2016,Highlander,San Francisco,San Francisco,Moving,,,Vehicle,2,,Yes,,,,,A Zoox vehicle in autonomous mode was making a left turn from Davis Street onto Vallejo Street and encountered a semi-truck flatbed parked in the intersection. The Zoox vehicle made contact with the rear right side of the truck at a very low speed. There was minor damage to the Zoox vehicle and no damage to the truck. There were no injuries and police were not called. ,Yes,,,,,,,Yes,,,,,Yes,,37.7974,-122.4001,0,1,1,0,2
61,Cruise LLC,Cruise,08/09/2020,03:48,PM,2020,9FM48,San Francisco,San Francisco,Stopped In Traffic,,,,2,,Yes,,,Honda Accord,Yes,"A Cruise autonomous vehicle (“Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn onto eastbound 17th Street from southbound Potrero Avenue when another vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV's right rear bumper bar and fascia. The Cruise AV test operator in the driver's seat reported back pain at the scene but did not request emergency assistance. The Cruise AV test operator sitting in the front passenger seat did not report any injuries at the scene, but later reported neck pain. Police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7509,-122.4153,-1,0,1,1,0
62,Cruise LLC,Cruise,8/15/2020,10:19,PM,2020,9FM48,San Francisco,San Francisco,Moving,,,,2,,,Yes,,Toyota Corolla,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Turk Street through the intersection with Steiner Street when another vehicle encroached into the Cruise AV's lane from the right adjacent lane and made contact with the right side of the Cruise AV, damaging the Cruise AV's right front fender, right front door, and right rear door and the other vehicle's front left bumper and fender. There were no injuries and police were not called.",Yes,,,,,,,,,Yes,,,Yes,,37.3378,-121.8908,0,0,1,1,0
63,Cruise LLC,Cruise,9/16/2020,09:09,AM,2020,9FM48,San Francisco,San Francisco,Stopped In Traffic,,,,2,,,Yes,,Chevrolet Impala,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling northwest bound on 9th Street near the intersection with Folsom Street in the right lane when it stopped due to traffic ahead in the intersection. Shortly thereafter, another vehicle made contact with the Cruise AV, damaging the Cruise AV's left rear bumper, wheel well, and tail lamp and the other vehicle's front right bumper, headlight, and fender. The Cruise AV test operator sitting in the front passenger seat reported back pain at the scene, but did not request emergency assistance. Police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7738955,-122.4114112,-1,0,1,1,0
64,Zoox Inc.,Zoox Inc. ,9/16/2020,10:40,AM,2016,Highlander,San Francisco,San Francisco,Moving,,,Vehicle,2,Yes,,,,Chevrolet Spark LT,Yes,"A Zoox vehicle in autonomous mode was traveling on Folsom Street straight through the 5th Street intersection when a passenger vehicle in the right adjacent lane attempted to make a left turn in front of the Zoox vehicle onto 5th Street. The rear left bumper of the turning passenger vehicle made contact with the front right side of the Zoox vehicle. There were no injuries, and the police were not called.",Yes,,,,,,,Yes,,,,,Yes,,37.7621,-122.3971,0,0,1,1,1
65,Zoox Inc.,Zoox Inc.,10/06/2020,01:40,PM,2016,Highlander,San Francisco,San Francisco,Stopped In Traffic,,,,1,,Yes,,,Ford,Yes,A Zoox vehicle in autonomous mode was stopped in traffic at the intersection of Harrison St. and 13 St. when a passenger vehicle from behind hit the Zoox vehicle’s rear bumper and sensors at a low speed. There were no injuries and police were not called. ,Yes,,,,,,,Yes,,,,,Yes,,37.7725,-122.4147,0,0,1,1,1
66,Cruise LLC,Cruise,10/24/2020,04:40,AM,2020,Bolt,San Francisco,San Francisco,Stopped In Traffic,,,Subaru,2,,Yes,,,Subaru Outback,Yes,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on 17th Street at the intersection with Potrero St., when the Cruise AV was struck by a 2007 Subaru Outback that crossed the centerline while driving eastbound on 17th Street. Immediately before the incident, the driver of the Cruise AV, seeing the oncoming vehicle crossing the centerline, disengaged from autonomous mode and brought the Cruise AV to a stop. The oncoming car made contact with the front driver side quarter panel of the Cruise AV, causing damage. There were no injuries, but the police were called. The driver of the 2007 Subaru Outback left the scene before the police arrived.",Yes,,,,,,,,,Yes,,,Yes,,37.764579,-122.407273,-1,0,1,1,1
